"Laboratory","Facility","Country","City","Sample Population","Sample Sub-Population","Reference Sample Type","Sample Set","Reference Method","Repeats","Blinding","Test Type","Test Format","Use Case","Test Name","Manufacturer","Catalog Number","Lot Number","Index Sample Type","Target","Antigen Used for Detection","RNA Extraction Kit","Estimated LoD","LoD Unit","Higher Cut-off","Lower Cut-off","Ct Value","Days of Sickness","Total Positive","Total Negative","True Positive","True Negative","Sensitivity","Specificity","Link to Publication","DOI","Comments"
"Shenzhen Third People?s Hospital","Hospital","China","Shenzhen","Confirmed COVID-19 patients","Critical; Other; Not available","Respiratory specimen","Prospectively collected set","Clinical examination; Computed Tomography (CT); RT-PCR","Not available","Not available","Antibody","Enzyme-linked immunosorbent assay (ELISA)","Detection of current infection","IgG/IgM ELISA kit","Beijing Wantai Biological Pharmacy Enterprise Co., Ltd","Not available","Not available","Plasma","Total Ig","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Early (~1-7)","94","Not available","36","Not available","38.3","Not available","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7184337/pdf/ciaa344.pdf","10.1093/cid/ciaa344","Not available"
"Shenzhen Third People?s Hospital","Hospital","China","Shenzhen","Confirmed COVID-19 patients","Critical; Other; Not available","Respiratory specimen","Prospectively collected set","Clinical examination; Computed Tomography (CT); RT-PCR","Not available","Not available","Antibody","Enzyme-linked immunosorbent assay (ELISA)","Detection of current infection","IgG/IgM ELISA kit","Beijing Wantai Biological Pharmacy Enterprise Co., Ltd","Not available","Not available","Plasma","Total Ig","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Intermediate (~8-14)","135","Not available","121","Not available","89.6","Not available","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7184337/pdf/ciaa344.pdf","10.1093/cid/ciaa344","Not available"
"Shenzhen Third People?s Hospital","Hospital","China","Shenzhen","Confirmed COVID-19 patients","Critical; Other; Not available","Respiratory specimen","Prospectively collected set","Clinical examination; Computed Tomography (CT); RT-PCR","Not available","Not available","Antibody","Enzyme-linked immunosorbent assay (ELISA)","Detection of current infection","IgG/IgM ELISA kit","Beijing Wantai Biological Pharmacy Enterprise Co., Ltd","Not available","Not available","Plasma","Total Ig","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Late (>14)","90","Not available","90","Not available","100","Not available","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7184337/pdf/ciaa344.pdf","10.1093/cid/ciaa344","Not available"
"Shenzhen Third People?s Hospital","Hospital","China","Shenzhen","Confirmed COVID-19 patients","Critical; Other; Not available","Respiratory specimen","Prospectively collected set","Clinical examination; Computed Tomography (CT); RT-PCR","Not available","Not available","Antibody","Enzyme-linked immunosorbent assay (ELISA)","Detection of current infection","IgG/IgM ELISA kit","Beijing Wantai Biological Pharmacy Enterprise Co., Ltd","Not available","Not available","Plasma","Total Ig","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Overall","173","213","161","211","93.1","99.1","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7184337/pdf/ciaa344.pdf","10.1093/cid/ciaa344","Not available"
"Tongji Medical College, Huazhong University of Science and Technology","Hospital","China","Wuhan","Symptomatic patients","Mild; Moderate; Severe","Nasopharyngeal swabs; Oropharyngeal swabs","Prospectively collected set","RT-PCR","Not available","Not available","Antibody","Enzyme-linked immunosorbent assay (ELISA)","Detection of current infection","IgG/IgM ELISA kit","Zhuhai Livzon Diagnostics Inc","Not available","20200308","Serum","IgM","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Late (>14)","66","60","51","60","77.3","100","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7188146/pdf/ciaa461.pdf","10.1093/cid/ciaa461","Days of sickness for all patients were >13 and <29. Diagnostic value of serological IgM and IgG antibodies for COVID-19 pneumonia was evaluated in 66 patients with positive nucleic acid tests."
"Tongji Medical College, Huazhong University of Science and Technology","Hospital","China","Wuhan","Confirmed COVID-19 patients","Not available","Nasopharyngeal swabs; Oropharyngeal swabs","Prospectively collected set","RT-PCR","Not available","Not available","Antibody","Enzyme-linked immunosorbent assay (ELISA)","Detection of current infection","IgG/IgM ELISA kit","Zhuhai Livzon Diagnostics Inc","Not available","20200308","Serum","IgG","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Late (>14)","66","60","55","57","83.3","95","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7188146/pdf/ciaa461.pdf","10.1093/cid/ciaa461","Days of sickness for all patients were >13 and <29. Diagnostic value of serological IgM and IgG antibodies for COVID-19 pneumonia was evaluated in 66 patients with positive nucleic acid tests."
"General Hospital of the Central Theater Command of the People?s Liberation Army (PLA)","Hospital","China","Not available","Confirmed COVID-19 patients","Not available","Nasopharyngeal swabs","Retrospective set","RT-PCR","Triplicates","Not available","Antibody","Enzyme-linked immunosorbent assay (ELISA)","Detection of current infection","2019-nCoV IgG/IgM Antibody Detection Kit","Zhuhai Lizhu Reagent Co., Ltd.","Not available","Not available","Serum","IgG","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Early (~1-7)","22","100","7","100","31.8","100","https://jcm.asm.org/content/jcm/early/2020/03/27/JCM.00461-20.full.pdf","10.1128/jcm.00461-20","A median of 15 d.p.o. (range, 0?55 days)"
"General Hospital of the Central Theater Command of the People?s Liberation Army (PLA)","Hospital","China","Not available","Confirmed COVID-19 patients","Not available","Nasopharyngeal swabs","Retrospective set","RT-PCR","Triplicates","Not available","Antibody","Enzyme-linked immunosorbent assay (ELISA)","Detection of current infection","2019-nCoV IgG/IgM Antibody Detection Kit","Zhuhai Lizhu Reagent Co., Ltd.","Not available","Not available","Serum","IgG","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Intermediate (~8-14)","92","100","54","100","58.7","100","https://jcm.asm.org/content/jcm/early/2020/03/27/JCM.00461-20.full.pdf","10.1128/jcm.00461-20","A median of 15 d.p.o. (range, 0?55 days)"
"General Hospital of the Central Theater Command of the People?s Liberation Army (PLA)","Hospital","China","Not available","Confirmed COVID-19 patients","Not available","Nasopharyngeal swabs","Retrospective set","RT-PCR","Triplicates","Not available","Antibody","Enzyme-linked immunosorbent assay (ELISA)","Detection of current infection","2019-nCoV IgG/IgM Antibody Detection Kit","Zhuhai Lizhu Reagent Co., Ltd.","Not available","Not available","Serum","IgG","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Late (>14)","100","100","89","100","89","100","https://jcm.asm.org/content/jcm/early/2020/03/27/JCM.00461-20.full.pdf","10.1128/jcm.00461-20","A median of 15 d.p.o. (range, 0?55 days)"
"General Hospital of the Central Theater Command of the People?s Liberation Army (PLA)","Hospital","China","Not available","Confirmed COVID-19 patients","Not available","Nasopharyngeal swabs","Retrospective set","RT-PCR","Triplicates","Not available","Antibody","Enzyme-linked immunosorbent assay (ELISA)","Detection of current infection","2019-nCoV IgG/IgM Antibody Detection Kit","Zhuhai Lizhu Reagent Co., Ltd.","Not available","Not available","Serum","IgG","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Overall","214","100","150","100","70.1","100","https://jcm.asm.org/content/jcm/early/2020/03/27/JCM.00461-20.full.pdf","10.1128/jcm.00461-20","A median of 15 d.p.o. (range, 0?55 days)"
